trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.25, 'e': 0.3587482976818919}",20,0,-27.434176521845473,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
103,False,"{'a': 0.25, 'e': 0.355160814705073}",30,2,37.30455372682508,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.25, 'e': 0.35160920655802225}",30,4,22.551203882100197,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.25, 'e': 0.348093114492442}",25,3,-3.5463946676085603,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
106,False,"{'a': 0.25, 'e': 0.3446121833475176}",20,0,3.6842940824738024,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
107,False,"{'a': 0.25, 'e': 0.34116606151404244}",25,0,15.539016585638244,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
108,False,"{'a': 0.25, 'e': 0.337754400898902}",25,17,-8.620279502213412,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.25, 'e': 0.334376856889913}",30,17,12.301536969290652,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.25, 'e': 0.33103308832101386}",35,8,-94.37573967867523,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 2}",1
111,False,"{'a': 0.25, 'e': 0.3277227574378037}",25,3,19.4909600692317,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.25, 'e': 0.3244455298634257}",25,13,16.68246356654783,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.25, 'e': 0.3212010745647914}",25,15,20.666205097764127,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.25, 'e': 0.3179890638191435}",30,16,13.390199453451258,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.25, 'e': 0.31480917318095203}",25,18,10.721451169595483,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.25, 'e': 0.3116610814491425}",20,0,16.777058490125455,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.25, 'e': 0.30854447063465107}",35,7,9.570586298258391,"{0: 25, 1: 2, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.25, 'e': 0.3054590259283046}",30,10,-32.40823995706081,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
119,False,"{'a': 0.25, 'e': 0.30240443566902153}",25,0,-2.1058354029949813,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
120,False,"{'a': 0.25, 'e': 0.2993803913123313}",25,5,13.549883116650951,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.25, 'e': 0.296386587399208}",20,0,-70.72493851928704,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
122,False,"{'a': 0.25, 'e': 0.2934227215252159}",30,10,-5.816323875297954,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.25, 'e': 0.29048849430996376}",20,0,12.460842967982575,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
124,False,"{'a': 0.25, 'e': 0.2875836093668641}",20,10,-62.25609081845282,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
125,False,"{'a': 0.25, 'e': 0.28470777327319546}",20,0,17.247383944770437,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.25, 'e': 0.2818606955404635}",20,8,16.223999415632203,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.25, 'e': 0.27904208858505886}",25,10,-27.543609219071513,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
128,False,"{'a': 0.25, 'e': 0.2762516676992083}",20,11,16.062839551482416,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.25, 'e': 0.2734891510222162}",35,19,-48.25443221460112,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
130,False,"{'a': 0.25, 'e': 0.27075425951199406}",20,0,-9.709557818549294,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
131,False,"{'a': 0.25, 'e': 0.2680467169168741}",25,5,0.6017186314193834,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.25, 'e': 0.26536624974770534}",20,12,6.455605928473069,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.25, 'e': 0.2627125872502283}",20,0,-42.704787280926084,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
134,False,"{'a': 0.25, 'e': 0.26008546137772603}",20,0,-21.247140865516542,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
135,False,"{'a': 0.25, 'e': 0.25748460676394874}",25,12,0.8660223772117861,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.25, 'e': 0.2549097606963093}",30,0,44.77427940664336,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.25, 'e': 0.2523606630893462}",20,0,-15.76474207950232,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
